web-scraper-order,web-scraper-start-url,time,teamB,date,teamA,gymnasium
"1537297423-39","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","14:00","SAINT-CLOUD PARIS SF","04/11/18","AS CESSON ST-BRIEUC 2","GYMNASE DE BEAUFEUILLAGE"
"1537297423-124","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","20:00","KLOAR-AVEN VB 29","16/03/19","RUEIL ATHLETIC CLUB","MICHEL RICARD"
"1537297423-118","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","14:00","C.P.B. RENNES 35","03/03/19","ASB REZE VOLLEY 3","GYMNASE LIBERGE"
"1537297423-109","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","14:00","KLOAR-AVEN VB 29","24/02/19","AS CESSON ST-BRIEUC 2","GYMNASE DE BEAUFEUILLAGE"
"1537297423-31","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","14:00","VANNES VOLLEY 56","28/10/18","SAINT-CLOUD PARIS SF","GYMNASE VERHAEREN"
"1537297423-13","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","14:00","SAINT-CLOUD PARIS SF","30/09/18","RENNES ETUDIANTS CLUB 3","COURTEMANCHE"
"1537297423-119","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","null","null","null","null","null"
"1537297423-107","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","16:00","RENNES ETUDIANTS CLUB 3","24/02/19","C.P.B. RENNES 35","GYMNASE CDT BOUGOUIN"
"1537297423-126","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","null","null","null","null","null"
"1537297423-30","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","21:00","C.P.B. RENNES 35","27/10/18","RENNES ETUDIANTS CLUB 3","COURTEMANCHE"
"1537297423-56","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","null","null","null","null","null"
"1537297423-134","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","15:00","xxxxx","07/04/19","VANNES VOLLEY 56",""
"1537297423-68","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","15:00","C.P.B. RENNES 35","16/12/18","SAINT-RENAN IROISE VOLLEY","SALLE GUYADER"
"1537297423-121","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","13:00","ASB REZE VOLLEY 3","17/03/19","VANNES VOLLEY 56","SALLE OMNISPORTS DE KERCADO"
"1537297423-132","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","16:00","VANNES VOLLEY 56","24/03/19","C.P.B. RENNES 35","GYMNASE CDT BOUGOUIN"
"1537297423-76","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","18:30","KLOAR-AVEN VB 29","12/01/19","SAINT-CLOUD PARIS SF","GYMNASE VERHAEREN"
"1537297423-26","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","16:00","SAINT-CLOUD PARIS SF","21/10/18","C.P.B. RENNES 35","GYMNASE CDT BOUGOUIN"
"1537297423-28","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","null","null","null","null","null"
"1537297423-101","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","15:00","AS CESSON ST-BRIEUC 2","17/02/19","VOLLEY BALL CLUB MALOUIN","MARVILLE"
"1537297423-105","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","null","null","null","null","null"
"1537297423-16","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","14:00","ASB REZE VOLLEY 3","07/10/18","SAINT-CLOUD PARIS SF","GYMNASE VERHAEREN"
"1537297423-47","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","15:00","RUEIL ATHLETIC CLUB","18/11/18","KLOAR-AVEN VB 29","SALLE DES SPORTS"
"1537297423-122","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","16:00","AS CESSON ST-BRIEUC 2","17/03/19","RENNES ETUDIANTS CLUB 3","COURTEMANCHE"
"1537297423-106","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","16:00","xxxxx","24/02/19","ASB REZE VOLLEY 3",""
"1537297423-55","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","15:00","C.P.B. RENNES 35","25/11/18","VANNES VOLLEY 56","SALLE OMNISPORTS DE KERCADO"
"1537297423-87","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","16:00","VANNES VOLLEY 56","27/01/19","CHAVILLE-SEVRES VOLLEY-BALL","CENT GARDES"
"1537297423-144","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","20:00","RUEIL ATHLETIC CLUB","13/04/19","ASB REZE VOLLEY 3","GYMNASE LIBERGE"
"1537297423-111","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","20:00","CHAVILLE-SEVRES VOLLEY-BALL","23/02/19","RUEIL ATHLETIC CLUB","MICHEL RICARD"
"1537297423-51","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","20:30","KLOAR-AVEN VB 29","24/11/18","CHAVILLE-SEVRES VOLLEY-BALL","GYMNASE HALIMI"
"1537297423-10","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","13:00","CHAVILLE-SEVRES VOLLEY-BALL","30/09/18","VANNES VOLLEY 56","SALLE OMNISPORTS DE KERCADO"
"1537297423-38","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","15:00","KLOAR-AVEN VB 29","04/11/18","SAINT-RENAN IROISE VOLLEY","SALLE GUYADER"
"1537297423-72","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","13:00","SAINT-RENAN IROISE VOLLEY","13/01/19","VANNES VOLLEY 56","SALLE OMNISPORTS DE KERCADO"
"1537297423-120","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","16:00","xxxxx","17/03/19","C.P.B. RENNES 35",""
"1537297423-34","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","20:00","RUEIL ATHLETIC CLUB","27/10/18","CHAVILLE-SEVRES VOLLEY-BALL","CENT GARDES"
"1537297423-8","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","15:00","xxxxx","30/09/18","SAINT-RENAN IROISE VOLLEY",""
"1537297423-19","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","16:00","AS CESSON ST-BRIEUC 2","07/10/18","CHAVILLE-SEVRES VOLLEY-BALL","CENT GARDES"
"1537297423-1","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","15:00","xxxxx","23/09/18","SAINT-CLOUD PARIS SF",""
"1537297423-128","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","15:00","CHAVILLE-SEVRES VOLLEY-BALL","24/03/19","KLOAR-AVEN VB 29","SALLE DES SPORTS"
"1537297423-151","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","20:30","ASB REZE VOLLEY 3","27/04/19","CHAVILLE-SEVRES VOLLEY-BALL","CENT GARDES"
"1537297423-102","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","15:00","KLOAR-AVEN VB 29","17/02/19","VANNES VOLLEY 56","SALLE OMNISPORTS DE KERCADO"
"1537297423-32","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","15:00","AS CESSON ST-BRIEUC 2","28/10/18","KLOAR-AVEN VB 29","SALLE DES SPORTS"
"1537297423-127","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","15:00","VOLLEY BALL CLUB MALOUIN","24/03/19","xxxxx",""
"1537297423-115","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","15:00","SAINT-RENAN IROISE VOLLEY","03/03/19","KLOAR-AVEN VB 29","SALLE DES SPORTS"
"1537297423-146","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","13:00","AS CESSON ST-BRIEUC 2","14/04/19","VANNES VOLLEY 56","SALLE OMNISPORTS DE KERCADO"
"1537297423-49","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","null","null","null","null","null"
"1537297423-4","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","16:00","C.P.B. RENNES 35","23/09/18","CHAVILLE-SEVRES VOLLEY-BALL","CENT GARDES"
"1537297423-42","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","null","null","null","null","null"
"1537297423-110","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","15:00","VOLLEY BALL CLUB MALOUIN","24/02/19","SAINT-RENAN IROISE VOLLEY","SALLE GUYADER"
"1537297423-62","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","15:00","VOLLEY BALL CLUB MALOUIN","02/12/18","KLOAR-AVEN VB 29","SALLE DES SPORTS"
"1537297423-53","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","16:00","SAINT-RENAN IROISE VOLLEY","25/11/18","RENNES ETUDIANTS CLUB 3","COURTEMANCHE"
"1537297423-133","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","null","null","null","null","null"
"1537297423-82","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","13:00","RUEIL ATHLETIC CLUB","20/01/19","VANNES VOLLEY 56","SALLE OMNISPORTS DE KERCADO"
"1537297423-21","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","null","null","null","null","null"
"1537297423-145","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","16:00","SAINT-RENAN IROISE VOLLEY","14/04/19","C.P.B. RENNES 35","GYMNASE CDT BOUGOUIN"
"1537297423-3","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","19:00","ASB REZE VOLLEY 3","22/09/18","VOLLEY BALL CLUB MALOUIN","MARVILLE"
"1537297423-41","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","16:00","ASB REZE VOLLEY 3","04/11/18","C.P.B. RENNES 35","GYMNASE CDT BOUGOUIN"
"1537297423-46","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","14:00","SAINT-RENAN IROISE VOLLEY","18/11/18","SAINT-CLOUD PARIS SF","GYMNASE VERHAEREN"
"1537297423-96","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","14:00","CHAVILLE-SEVRES VOLLEY-BALL","03/02/19","AS CESSON ST-BRIEUC 2","GYMNASE DE BEAUFEUILLAGE"
"1537297423-86","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","15:00","AS CESSON ST-BRIEUC 2","27/01/19","RUEIL ATHLETIC CLUB","MICHEL RICARD"
"1537297423-98","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","null","null","null","null","null"
"1537297423-43","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","15:00","C.P.B. RENNES 35","18/11/18","xxxxx",""
"1537297423-135","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","14:00","C.P.B. RENNES 35","07/04/19","AS CESSON ST-BRIEUC 2","GYMNASE DE BEAUFEUILLAGE"
"1537297423-84","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","null","null","null","null","null"
"1537297423-91","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","null","null","null","null","null"
"1537297423-15","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","15:00","RENNES ETUDIANTS CLUB 3","07/10/18","xxxxx",""
"1537297423-27","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","16:00","ASB REZE VOLLEY 3","21/10/18","RENNES ETUDIANTS CLUB 3","COURTEMANCHE"
"1537297423-9","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","14:00","RUEIL ATHLETIC CLUB","30/09/18","AS CESSON ST-BRIEUC 2","GYMNASE DE BEAUFEUILLAGE"
"1537297423-104","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","14:00","RENNES ETUDIANTS CLUB 3","17/02/19","ASB REZE VOLLEY 3","GYMNASE LIBERGE"
"1537297423-90","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","15:00","RENNES ETUDIANTS CLUB 3","27/01/19","SAINT-CLOUD PARIS SF","GYMNASE VERHAEREN"
"1537297423-80","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","14:00","VOLLEY BALL CLUB MALOUIN","20/01/19","ASB REZE VOLLEY 3","GYMNASE LIBERGE"
"1537297423-92","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","14:00","xxxxx","03/02/19","RENNES ETUDIANTS CLUB 3",""
"1537297423-35","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","null","null","null","null","null"
"1537297423-95","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","14:00","VOLLEY BALL CLUB MALOUIN","03/02/19","VANNES VOLLEY 56","SALLE OMNISPORTS DE KERCADO"
"1537297423-117","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","11:00","VANNES VOLLEY 56","03/03/19","RENNES ETUDIANTS CLUB 3","COURTEMANCHE"
"1537297423-75","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","20:30","VOLLEY BALL CLUB MALOUIN","12/01/19","RENNES ETUDIANTS CLUB 3","COURTEMANCHE"
"1537297423-140","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","null","null","null","null","null"
"1537297423-17","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","15:00","C.P.B. RENNES 35","07/10/18","KLOAR-AVEN VB 29","SALLE DES SPORTS"
"1537297423-7","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","null","null","null","null","null"
